Number ,School Name,School Type,Link to curriculum / options block document,Option block type,Notes,Completed?,SH/JRH notes,Any insights to note?
1,University Technical College Norfolk,Free Schools,Link,Fixed blocks,Computer science part of mandatory GCSE curriculum. ,Yes,,
2,Old Swinford Hospital,LA maintained schools,Link,Free choice,"Pupils select 3 options and 2 reserves from the following list: Art, Business Studies, Computing, Design & Technology, Economics, French, Geography, German, History, Music, PE, RE",Yes,,
3,Onslow St Audrey's School,Academies,Link,Unknown,No - Year 9 options booklet has lots of subject info but isn't clear on blocking method. Language implies choice is partly determined by attainment. ,No,,
4,Malet Lambert,Academies,Link,Mixed,"Options depends on pathways: higher achieving pupils must take 1 language, 1 humanity and 1 free choice; lower achieving pupils take 1 humanity or language and 2 free choices. Everyone gets a reserve choice. ",Yes,,
5,The Cotswold Academy,Academies,Link,Free choice,"All pupils take 1 humanity, plus 3 free choices and 2 reserves from a list of 19. ",Yes,,
6,South Hunsley School and Sixth Form College,Academies,Link,Mixed,"Options depends on pathways: higher achieving pupils must take 1 language, 1 humanity and 1 free choice; lower achieving pupils take 1 humanity or language and 2 free choices. Everyone gets a reserve choice. ",Yes,PDF - can't highlight or download,
7,Holmer Green Senior School,Academies,n/a,Unknown,Can't find year 9 options booklet,No,,
8,Ryde Academy,Academies,n/a,Unknown,Can't find year 9 options booklet,No,,
9,The Sacred Heart Language College,LA maintained schools,Link,Mixed,"Year 9 curriculum booklet isn't completely transparent, but it seems to involve a 3-tier pathway system,with choices determined  by pathway, and some measure of free choice. ",1,No Geography option,
10,Ian Ramsey Church of England Academy,Academies,Link,Fixed blocks,Pupils seem to select 2 options from fixed themed blocks. ,Yes,,
11,Greatfields School,Free Schools,Link,Free choice,Mixed - mandatory humanities subject and 2 free choices from list of options. But doesn't offer Computing GCSE. Interesting to note that intro blurb tells parents (a) not to consider subjects as 'for' either boys or girls and (b) an explicit section on why they don't have totally free choice. ,1,No computing option,
12,St Peter's RC High School,LA maintained schools,Link,Fixed blocks,Pupils select 3 options from fixed blocks. Computer science only offered in 1 and is grouped with vocational / technical subjects,Yes,,
13,The Corbet School,Academies,Link,Free choice,"Free choice (with caveats). Pupils choose 3 options from a wide-ranging list. Hints that not every combo is possible:

""Wherever a choice of subjects is allowed, pupils will be given the opportunity to discuss their decision with relevant teachers and to consult with their parents. The staff will give careful consideration to the wishes of pupils and  parents but should a problem arise the final decision must rest with the School. Our planned procedures mean this rarely happens.""",Yes,,
14,Churchill Community College,LA maintained schools,n/a,Unknown,Can't find year 9 options booklet,No,,
15,Chesham Grammar School,Academies,Link,Mixed,"Mixed - 6 mandatory subjects, 1 mandatory humanity, 1 mandatory language and 2 free choices (with strong push for at least 1 to be a creative subject). ",Yes,,
16,Aldercar High School,LA maintained schools,Link,Mixed,"Mixed but mainly free choice system. 4 mandatory subjects, 2 choices from the EBacc block of subjects and then 3 further free choices (but implying that choices will be vetted for balance of curriculum). ",1,No computing,
17,Upper Batley High School,Academies,Link,Mixed,Mixed but mainly free choice system. 4 mandatory subjects and then 4 split between Ebacc and free choices (but not clear what the exact split is). Computing is one of the free choices. Nb - all boys school. ,Yes,,
18,Norton Hill Academy,Academies,Link,Mixed,"Complicated 3-tier system with different pathways, each of which has varying levels of choice. But it amounts to core curriculum + choice of humanity + some free choices, inc. computing. ",No,No info on either subject,
19,Gravesend Grammar School,Academies,Link,Mixed,"Mixed but quite restrictive system. Core curriculum is very large inc. mandatory humanity and language, and only one free choice (inc. computing). Nb, choices are selected in year 8 rather than year 9. ",Yes,,
20,Wexham School,LA maintained schools,Link,Mixed,"Mixed system with several pathways. All include core curriculum + at least 2 free choices (depending on pathway). However, computer science is marked for identified pupils only. ",Yes,,
21,The Cardinal Wiseman Catholic School,LA maintained schools,Link,Unknown,Core curriculum + 3 subject choices; some of these are in set blocks and some truly free choices. Unclear whether it actually offers Computing (only mentions 'IT'). ,Yes,,
22,Manor Croft Academy,Academies,n/a,Unknown,"Not clear. Website includes a guide referencing the options process which mentions ""guided choice"" but no detail beyond this. ",No,No info on either subject,
23,Cambridge Academy for Science and Technology,Free Schools,Link,Fixed blocks,Specialist science academy with a slightly unusual system. Core curriculum + 2 fixed option blocks. BUT one of the blocks is Computing / IT / Health & Social Care.,Yes,,
24,Shrewsbury Academy,Academies,Link,Fixed blocks,"Fixed block system with choices of 1 subject from each of 4 blocks. Weirdly, Computer Science is grouped with 3 languages in the languages block and only that block. ",Yes,,
25,Twyford Church of England High School,Academies,n/a,Unknown,Link to curriculum policy on website doesn't work (https://twyford.ealing.sch.uk/assets/curriculum-policy-2019.pdf),Yes,,
26,The Pingle Academy,Academies,Link,Free choice,"Curriculum for KS4 consists of core subjects, plus one Ebacc humanity (Geography or history), plus two free choices. But no mention of Computer science being one of the subjects offered. ",Yes,,
27,St Paul's School for Girls,LA maintained schools,Link,Unknown,"Curriculum statement mentions that Computer Science is offered in option blocks, but no detail on type of block or number of options. ",Yes,,
28,Woodbrook Vale School,Academies,Link,Free choice,"Confusing document, it seems to involve some free choices and some blocked choices (a language, history or geography). Computer science grouped with the languages and humanities rather than the other free choices. ",Yes,,
29,Tapton School,Academies,Link,Fixed blocks,"Confusing website, but amounts to fixed blocks. I can't tell whether it's (a) pupils choose pathway with set subjects in that pathway or (b) choose from 3 fixed blocks. Either way, Computer science is in only one block. ",Yes,,
30,Mary Webb School and Science College,LA maintained schools,Link,Free choice,Seems to be 4 subject options with totally free choices; booklet says they will try as hard as they can to accommodate everyone's preferences. ,Yes,,
31,Lathom High School : A Technology College,LA maintained schools,Link,Unknown,Unclear - document gives example blocks but no detail on how much choice is involved. ,Yes,,
32,Clayton Hall Academy,Academies,Link,Mixed,"Core curriculum, one humanity, one language and two free choices (with reserves). ",No,There is info here: https://www.claytonhallacademy.org/students/year-8-options/options-powerpoint/nggallery/slideshow but I can't copy the text,
33,The Laurel Academy,Academies,Link,Unknown,"Seems to involve mandatory language and history with Computer Science as one of a number of options, but not clear enough to make a judgment call. ",No,They don't have computing as an option: just IT-creative media,
34,St James School,Academies,Link,Mixed,"Blended system with 2 pathways, mandatory humanity / language (in one of the pathways) and 4 free choices (incl. Computer Science). ",Yes,,
35,Forest Academy,Academies,Link,Fixed blocks,"Pupils choose 1 subject from each of 4 fixed blocks, with mandatory Ebacc subject from across the 4. Also doesn't seem to offer Computer Science. ",No,They don't have computing as an option: just IT-creative media,
36,Mulberry School for Girls,Academies,n/a,Unknown,Can't find relevant info,Yes,,
37,Colne Valley High School,Academies,n/a,Unknown,Can't find relevant info,No,No computing or geography info,
38,Mount Grace School,Academies,Link,Free choice,"6 choices, of which at least one has to be an Ebacc subject (including Computer Science). Seem to be able to choose Computer Science and another Ebacc subject, but not 100% clear. If so, enough choice to fall into the free choice category. ",Yes,,
39,Summerhill School,LA maintained schools,n/a,Unknown,Can't find enough info - curriculum page mentions 3 options but no sense of how they're allocated,No,No GCSE options info on website,
40,Magnus Church of England Academy,Academies,Link,Unknown,"Website implies 3 free choices, inc. Computer Science, but some uncertainty",Yes,I could only find an options booklet from 2017 - that's the one I used,
41,Westborough High School,LA maintained schools,n/a,Unknown,Can't find relevant info,Yes,,
42,Harris Academy South Norwood,Academies,n/a,Unknown,Can't find relevant info,Yes,,
43,Goodwin Academy,Academies,Link,Mixed,"3 pathway system, with at least 2 free choices in each (some variation). Doesn't seem to offer computer science. ",No,No GCSE options info on website,
44,St John's Marlborough,Academies,Link,Mixed,"3 pathway system, with min 2 free choices (and up to 3 in some pathways). Computer science offered. ",Yes,,
45,Putteridge High School,Academies,Link,Free choice,"Mandatory Geography or History, but otherwise 3 free choices",Yes,,
46,Manningtree High School,Academies,Link,Free choice,"Mandatory Geography or History, but otherwise 3 free choices inc. Computer Science",Yes,,
47,Ashington Academy,Academies,n/a,Unknown,Can't find relevant info,No,,
48,Oasis Academy Mayfield,Academies,Link,Fixed blocks,4 choices from 4 fixed blocks. Does not offer computing,No,Can't copy and paste the text from the booklet,
49,Longdean School,Academies,n/a,Unknown,Can't find relevant info,Yes,,
50,Caister Academy,Academies,n/a,Unknown,Can't find relevant info,Yes,,
