time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Ancient History,GCSE,611,596,529,480,z,z,z,z,98,87,79,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Ancient History,GCSE,470,462,390,338,z,z,z,z,98,83,72,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Ancient History,GCSE,1081,1058,919,818,z,z,z,z,98,85,76,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Any classical study,GCSE,6061,6048,5879,5638,z,z,z,z,100,97,93,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Any classical study,GCSE,6707,6691,6544,6321,z,z,z,z,100,98,94,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Any classical study,GCSE,12768,12739,12423,11959,z,z,z,z,100,97,94,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Any design & technology,GCSE,76173,75060,55229,41090,z,z,z,z,99,73,54,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Any design & technology,GCSE,51926,51443,44145,37242,z,z,z,z,99,85,72,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Any design & technology,GCSE,128099,126503,99374,78332,z,z,z,z,99,78,61,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Any modern language,GCSE,121555,120620,96857,75719,z,z,z,z,99,80,62,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Any modern language,GCSE,157254,156435,137020,114389,z,z,z,z,99,87,73,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Any modern language,GCSE,278809,277055,233877,190108,z,z,z,z,99,84,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Any science,GCSE,297993,294738,214661,162466,z,z,z,z,99,72,55,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Any science,GCSE,290792,288525,220195,170867,z,z,z,z,99,76,59,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Any science,GCSE,588785,583263,434856,333333,z,z,z,z,99,74,57,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Any subject,GCSE,313915,312078,280173,241338,z,z,z,z,99,89,77,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Any subject,GCSE,303638,302627,285843,261462,z,z,z,z,100,94,86,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Any subject,GCSE,617553,614705,566016,502800,z,z,z,z,100,92,81,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Art and Design,GCSE,64528,63837,48439,33782,z,z,z,z,99,75,52,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Art and Design,GCSE,121231,120460,109263,93391,z,z,z,z,99,90,77,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Art and Design,GCSE,185759,184297,157702,127173,z,z,z,z,99,85,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Biblical Hebrew,GCSE,149,143,137,124,z,z,z,z,96,92,83,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Biblical Hebrew,GCSE,460,460,441,403,z,z,z,z,100,96,88,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Biblical Hebrew,GCSE,609,603,578,527,z,z,z,z,99,95,87,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Biology,GCSE,83436,83049,78008,71857,z,z,z,z,100,93,86,z,z,z,z
