,word,frequency,crucial subject specific word,optional subject specific word,all other words
1,geography,1075,1,,
2,world,616,1,,
3,skills,562,,,1
4,students,561,,,1
5,geographical,454,1,,
6,physical,435,1,,
7,human,379,1,,
8,course,366,,,1
9,study,360,,,1
10,gcse,330,,,1
11,environment,327,1,,
12,fieldwork,325,,1,
13,issues,286,,1,
14,uk,276,,1,
15,challenges,274,,,1
16,how,267,,,1
17,paper,261,,,1
18,subject,221,,,1
19,management,214,,1,
20,understanding,214,,,1
21,exam,206,,,1
22,global,205,,1,
23,develop,204,,1,
24,have,199,,,1
25,range,194,,,1
26,changing,194,,,1
27,landscapes,191,,1,
28,natural,190,,1,
29,change,189,,1,
30,people,187,,1,
31,topics,180,,,1
32,hazards,180,,1,
33,urban,179,,1,
34,climate,174,,1,
35,also,174,,,1
36,including,173,,,1
37,unit,168,,,1
38,development,167,,1,
39,section,166,,,1
40,challenge,157,,1,
41,knowledge,157,,,1
42,year,156,,,1
43,economic,155,,1,
44,resource,153,,1,
45,such,151,,,1
46,questions,140,,,1
47,work,131,,,1
48,minutes,131,,,1
49,different,126,,1,
50,data,124,,1,
51,more,123,,,1
52,processes,121,,1,
53,level,112,,,1
54,environments,111,,1,
55,use,110,,,1
56,understand,110,,,1
57,many,107,,,1
58,well,107,,,1
59,future,107,,1,
60,examination,104,,,1
61,environmental,104,,1,
62,field,103,,1,
63,studies,101,,1,
64,hour,100,,,1
65,written,100,,,1
66,opportunities,99,,,1
67,places,99,,1,
68,other,98,,,1
69,information,98,,,1
70,include,97,,,1
71,topic,96,,,1
72,ecosystems,95,,1,
73,variety,92,,1,
74,learn,92,,,1
75,key,92,,,1
76,applications,90,,1,
77,careers,89,,,1
78,based,88,,,1
79,marks,87,,,1
80,resources,86,,1,
81,weather,86,,1,
82,geographers,84,,1,
83,part,83,,,1
84,wide,82,,,1
85,assessed,82,,,1
86,make,82,,,1
87,why,79,,,1
88,issue,78,,1,
89,tropical,76,,1,
90,coastal,76,,1,
91,water,76,,1,
92,subjects,75,,,1
93,place,72,,1,
94,case,71,,1,
95,need,71,,,1
96,has,71,,,1
97,research,71,,1,
98,assessment,70,,,1
99,content,69,,,1
100,planning,67,,1,
101,learning,67,,,1
102,component,67,,,1
103,countries,66,,1,
104,rivers,66,,1,
105,social,66,,1,
106,local,66,,1,
107,river,65,,1,
108,energy,63,,1,
