,time_period,country_name,school_type,subject,total_entry,girls_entry,girls_entry_percent
2,202021,England,All state-funded,Art and Design,171377,111924,65.31
3,202021,England,All state-funded,Drama,50684,32772,64.66
4,202021,England,All state-funded,Social Studies,53158,33877,63.73
5,202021,England,All state-funded,Food Preparation & Nutrition,47070,27649,58.74
7,202021,England,All state-funded,Spanish,101717,58684,57.69
8,202021,England,All state-funded,French,117046,67437,57.62
13,202021,England,All state-funded,Religious Studies,209877,113380,54.02
14,202021,England,All state-funded,Music,31106,16606,53.39
15,202021,England,All state-funded,History,268626,139093,51.78
16,202021,England,All state-funded,German,34535,17778,51.48
17,202021,England,All state-funded,Biology,152863,76555,50.08
18,202021,England,All state-funded,Chemistry,151040,75616,50.06
19,202021,England,All state-funded,Physics,150825,75385,49.98
21,202021,England,All state-funded,English Literature,553441,274396,49.58
26,202021,England,All state-funded,English Language,561235,277301,49.41
27,202021,England,All state-funded,Mathematics,562172,277420,49.35
30,202021,England,All state-funded,Media/Film/TV,26934,13138,48.78
31,202021,England,All state-funded,Geography,251631,116172,46.17
32,202021,England,All state-funded,Statistics,19606,8467,43.19
34,202021,England,All state-funded,Business,90032,36540,40.59
36,202021,England,All state-funded,Physical Education,63977,23662,36.99
38,202021,England,All state-funded,Design & Technology,75797,21827,28.8
41,202021,England,All state-funded,Computer Science,72265,14499,20.06
