,CompSci_Mean_Gender_Difference
0,0.013070371
1,0.015930245
2,0.014103015
3,0.015355619
4,0.015504606
5,0.013712378
6,0.01585822
7,0.015257463
8,0.013276921
9,0.015524049
10,0.013682322
11,0.012961809
12,0.013555828
13,0.012338646
14,0.015319531
15,0.016175652
16,0.009221786
17,0.013273288
18,0.013550662
19,0.013066806
20,0.017535402
21,0.014205897
22,0.013002206
23,0.013447675
24,0.013274454
25,0.015643917
26,0.017611448
27,0.014714026
28,0.01588644
29,0.012645493
30,0.011327621
31,0.016332079
32,0.018662939
33,0.017836824
34,0.013081692
35,0.015800834
36,0.013616577
37,0.016952816
38,0.014151173
39,0.01735142
40,0.016856534
41,0.014761582
42,0.014918782
43,0.016619414
44,0.014475636
45,0.0155030945
46,0.015721817
47,0.01289831
48,0.013780018
