,Drama_Mean_Gender_Difference
0,0.01264245
1,0.01064158
2,0.011784907
3,0.011440952
4,0.011223019
5,0.011472398
6,0.015218544
7,0.00938389
8,0.008735889
9,0.0140927415
10,0.013753423
11,0.011803956
12,0.008007816
13,0.009149697
14,0.013525464
15,0.014708619
16,0.012687604
17,0.007342725
18,0.0077152513
19,0.009844035
20,0.0113790305
21,0.0122586405
22,0.012867715
23,0.011782931
24,0.011340015
25,0.012395539
26,0.013190464
27,0.012323465
28,0.009225277
29,0.013371363
30,0.009324348
31,0.010364413
32,0.007107311
33,0.01504454
34,0.012630914
35,0.0078016897
36,0.012573973
37,0.01140733
38,0.01098577
39,0.013650902
40,0.006552337
41,0.012729828
42,0.011110597
43,0.015826551
44,0.010659463
45,0.009849098
46,0.010422721
47,0.009785279
48,0.009393815
