description_id,sentence,cluster,cluster_type,n_tokens
0,"This course will allow students to understand and apply the fundamental principles and concepts of Computer Science, including algorithmic thinking, and computer systems.",21,content,26
0,"In addition to this they will discover the power of Computer Science in modern life, as well as the exciting and evolving career opportunities in our current society.",17,motivation,30
0,"Students will analyse problems in computational terms through practical experience of solving such problems, including a strong use of the Predict Run Investigate Modify Make (PRIMM learning model) to assist in the professional designing, writing and debugging of programs.",8,content,44
0,"With this in mind, they will gain a thorough understanding of Python Programming, through the use of innovative programming projects.",21,content,23
0,"Finally, they will learn about the wider implications of digital technologies embedded in their everyday lives, including the legal, ethical and environmental impacts.",19,motivation,28
0,What will this GCSE encourage me to do?,1,motivation,9
0,"● understand and apply fundamental principles and concepts of computer science, including abstraction, decomposition, pattern recognition, logic, algorithms, and data representation; ● analyse problems in computational terms through practical experience of solving problems, including designing, writing and debugging your own programs; ● be creative and innovative and think analytically, logically and critically; ● understand the components that make up digital systems and how they communicate; ● understand the impact of digital technologies on society; ● apply mathematical skills relevant to computer science.",21,content,97
1,"In a world where computers are used every day, this subject allows you to explore what makes them work, the evolution of technology as well as how to write computer programs.",16,content,34
1,"You will learn an abundance of skills which are not only directly related to the assessment in this subject but can help with others as well including logical thinking, extended writing and programming.",12,logistics,35
1,"There is a strong mathematical and scientific component to this course, so a grounding in those subjects is important.",14,transferrable,21
1,The course is assessed through exam papers and a twenty hour programming project.,20,content,14
1,Paper 1 – 50% 90 minutes ,10,logistics,8
1,"How a computer works  CPU, memory and storage  Networks  Ethics and laws Paper 2 –",4,content,19
1,50% 90 minutes  Algorithms and programming  Binary mathematics and conversion to numbers  Flowcharts NEA (Non-examined assessment)  Exam board created project  Written documentation must be produced as well as a program written in Python,20,content,41
2,GCSE Computer Science gives students a fantastic opportunity to explore a variety of technologies.,1,motivation,15
2,"Students will gain an in-depth understanding of how computer technology works, as well as a glimpse at what goes on behind the scenes in computer systems.",16,content,30
2,Computer programming is an integral part of the course.,21,content,10
2,"Whilst it is undeniably challenging, students tend to find programming one of the most enjoyable aspects of the course.",20,content,21
2,"Students will learn critical thinking, analysis and problem solving in a fun and interesting way.",12,logistics,17
2,OCR’s GCSE in Computer Science consists of two compulsory components that are externally assessed.,1,motivation,16
2, Paper 1: Computer Systems (50% of the GCSE) 1 hr 30 minutes  Paper 2: Section A / Section B.,10,logistics,27
2,"In section B, students will be assessed on either refining or writing algorithms using the high level programming language they are familiar with.",7,logistics,25
2,(50% of the GCSE) 1 hr 30 minutes,10,logistics,11
3,18Shared:Y9 GCSE OPT – 21-23 GCSE COMPUTER SCIENCE (AQA),1,motivation,13
3,What will I do in GCSE Computer Science?,1,motivation,9
3,The answer is “a wide variety!”,12,logistics,9
3,This sentence explains the experience you will have...,0,motivation,9
3,"GCSE Computer Science will help you understand software, create your own and give you the tools to start looking at what the next big innovation could be.",1,motivation,29
3,"Computer Science is all about problem solving, analysing and modelling problems, designing solutions and then evaluating them.",22,motivation,20
3,You’ll learn about: •,0,motivation,6
3,What an algorithm is and its importance in the modern world •,6,content,13
3,How computers work •,3,content,4
3,"Data and how it is transferred, an area important to all software. •",5,content,15
3,Key programming techniques •,8,content,4
3,"Designing and developing software applications using C# and SQL Aims of the Course Computing is of enormous importance to the economy, and the role of Computer Science is growing across science, engineering and business.",21,content,37
3,"Computer Science will give you the opportunity to create software, learn how to program and apply algorithms.",21,content,19
3,You will explore the world of software development and develop an understanding of a range of technologies and how they work.,23,motivation,22
3,"Problem solving is a key aspect of Computer Science and you will learn skills and techniques that will help you in your career, whatever you decide to do in the future.",22,motivation,33
3,Course Content/Structure Paper 1: Computational thinking (50%),7,logistics,13
3,In this unit the focus is on computing theory and will be taught alongside practical exercises to support the topics.,21,content,21
3,Theory includes: •,13,transferrable,4
3,Algorithms and problem solving o What algorithms are and why they are at the heart modern computing o,6,content,18
3,The importance of algorithms in the modern world and how they are used o Create your own algorithms using flowcharts and pseudocode •,6,content,23
3,"You will be taught how to program, and will develop skills to create your own software by completing a number of mini projects o19Shared:Y9 GCSE OPT – 21-23 Paper 2: Computer systems (50%) In this unit the focus is on computing theory and will be taught alongside practical exercises to support the topics.",21,content,61
3,Theory includes: •,13,transferrable,4
3,Data and binary o,5,content,4
3,The importance of binary within computing and networking o,4,content,9
3,"How binary is used to store images, sound and how it is compressed •",5,content,15
3,"Hardware, systems, networks and their impact on society o How computers work and communicate o",3,content,17
3,The fundamentals of networking and the internet o How computing has changed society •,3,content,14
3,"Cyber security, malware and social engineering o",3,content,8
3,What are the threats to cyber security o,3,content,8
3,What is social engineering and how to protect yourself •,3,content,10
3,Databases and Structured Query Language (SQL) o,5,content,9
3,"The importance of database technology and impact on the world o How databases work and are used o How to use SQL to manipulate data and use in programing projects Assessment Information Exam Assessment 100% of course A mix of multiple choice, short-answer, longer-answer and extended response questions assessing programming, practical problem-solving, computational thinking skill and theoretical knowledge",21,content,69
4,Why study Computer Science?,22,motivation,5
4,"Studying Computer Science develops your ability to solve complex, interesting and challenging problems.",22,motivation,15
4,"It encourages you to think laterally, deeply and focus on developing solutions to real life problems.",15,transferrable,18
