description_id,sentence,cluster,cluster_type,n_tokens
0,Component 1: Devising: Create and perform a devised piece from a stimulus.,14,logistics,15
0,"A portfolio covering the creating and developing process, analysis and evaluation of this process Component 2: Students will either perform in and/or design for two key extracts from a performance text, externally assessed by a visiting examiner.",6,content,43
0,Component 3: Written examination:,9,logistics,6
0,1 hour 30 minutes.,12,logistics,5
0,An evaluation of a live performance and an analysis of a studied text.,14,logistics,14
1,"You will cover various topics including naturalistic theatre, devising and different theatrical genres made popular by a host of different theatre practitioners.",42,content,24
1,"You will develop your skills through working with other students to create performances, as well as independently.",25,content,19
1,"There are three components which are assessed by your teacher, and externally by a visiting examiner who will watch your final performance.",19,logistics,24
1,Each component includes performance and written work.,9,logistics,8
1,"A good drama student will have good descriptive written skills, will be able to evaluate their own performance work and will be able to keep a log of their developments.",48,motivation,32
1,"Students on this course will be expected to work with everyone and must be ready to perform in front of others, both during lesson and during possible concerts or other events.",25,content,33
1,Component 1 - Exploring the Performing Arts.,22,content,8
1,You will examine the work of performing arts professionals and document this through coursework and practical work.,24,content,18
1,Component 2 - Developing Skills and Techniques in Performing Arts.,22,content,11
1,You will develop their skills and techniques through both practical and written work.,26,transferrable,14
1,3 - Responding to a Brief.,5,content,7
1,"You will work as a group to create a piece of theatre, based on a performance brief.",40,content,19
2,"This acting course is suitable for students who have demonstrated a level of enthusiasm, motivation and dedication to performing arts and in particular drama.",39,content,26
2,Students choosing this course must be willing to perform.,21,transferrable,10
2,"Students gain a practical understanding of drama, and apply this knowledge to their performances as they develop their practical skills.",48,motivation,22
2,"Students can choose to be a performer or can take on the role of designer in lighting, sound, set or costume.",25,content,24
2,Students must choose one role throughout the component but can choose different roles.,27,logistics,14
2,There are 3 assessed components:,9,logistics,6
2,"Devising drama—Students research and explore a stimulus, work collaboratively and create their own devised drama.",47,content,18
2,"They complete a portfolio of evidence during the devising process, give a final performance of their drama, and write an evaluation of their own work.",47,content,28
2,This is an internal assessment 30% Component 03:,17,logistics,10
2,Presenting and performing texts—Students develop and apply theatrical skills in acting or design by presenting a showcase of two extracts from a performance text.,42,content,26
2,"This is an internal assessment 30% Component 04: Drama: Performance and response— Students explore practically a whole performance text, and demonstrate their knowledge and understanding of how drama is developed, performed and responded to.",34,content,41
2,They also analyse and evaluate a live theatre performance throughout the course.,33,content,13
2,This is a written external exam—40%,16,logistics,8
3,Why choose Drama?,43,motivation,4
3,"Drama remains one of the most popular GCSE examination choices in the country, because it is one of the few subjects which can demonstrate, to employers and university interviewers, a young person’s ability to work creatively and co-operatively within a group situation, to achieve a common goal.",0,content,53
3,"Students learn to collaborate with others, think analytically and evaluate effectively.",23,transferrable,13
3,"They gain the confidence to pursue their own ideas, reflect and refine their efforts.",31,transferrable,16
3,"Whatever the future holds, students of GCSE Drama emerge with a toolkit of transferable skills, applicable both in further studies and in the workplace.",0,content,27
3,"It offers preparation for students wishing to go on to do ‘A’ Level and degree courses in the Arts and promotes the development of personal and social skills, of vital importance in the world beyond education.",22,content,40
3,Aims of the Course,29,content,4
3,The course is designed to enable students to achieve: •,21,transferrable,11
3,Increased confidence in personal communication and presentation skills •,31,transferrable,9
3,"The development of creative, cognitive and imaginative abilities •",31,transferrable,10
3,Greater awareness of themselves as unique individuals and of their role within a group •,31,transferrable,15
3,A heightened sensitivity to the range of human experience •,31,transferrable,10
3,"Awareness of social, historical and cultural contexts and influences on drama and theatre •",46,content,15
3,"An appreciation of the ways in which playwrights achieve their effects and an ability to communicate an author’s intentions to an audience, through performance •",46,content,27
3,Skills in the shaping of dramatic performance •,46,content,8
3,A recognition of the contribution of design elements in theatre presentation •,42,content,12
3,An appreciation of the role of theatre in contemporary culture •,42,content,11
3,Understanding of how to critically evaluate theatre productions How We Begin,33,content,11
3,"The first 2 terms of the course are spent developing and diversifying students’ understanding of drama, through participation in practical workshops, exploring such key concepts as narrative structure, tension, focus and sub-text AND developing their skills in writing analytically about performance.",48,motivation,48
3,"They learn to work from a script, shape work of their own devising and reflect, in writing, upon their work and that of others.",31,transferrable,28
3,"Attending the theatre to witness different approaches to performance and design, is an ESSENTIAL part of learning – and assessment – in this subject.",40,content,26
3,"In the final examination, students are required to answer questions on performances they have attended on the course.",33,content,20
3,"The Drama Department organises several trips a year to carefully selected productions outside of Grantham, which are also a basis for work in class.",39,content,26
3,"Additionally, visits to Grantham’s own Guildhall are promoted and students will be expected to attend the school’s own annual drama production (unless they are appearing in it!)",39,content,33
3,What is Assessed?,3,logistics,4
3,"The AQA course presently followed by the department requires students during the course to demonstrate skills in the crafting of performance, showing awareness of social, historical and cultural influences upon their work and a recognition of how to work together creatively to develop a drama product.",39,content,49
3,"Students are also required, as part of this coursework, to reflect, in writing, upon those factors which influenced their practical work.",21,transferrable,26
3,"The final, written examination tests students’ ability to critically evaluate live theatre, which they have experienced as part of the course, together with their ability to think imaginatively and with sensitivity to22Shared:Y9 GCSE OPT – 21-23 text, as an actor or director in relation to play scripts studied.",33,content,56
3,"Students’ understanding of work is assessed through their ability to express their understanding orally, in writing, and through practical demonstration of their skills.",20,transferrable,27
3,"The subject content for GCSE Drama is divided into three components- Understanding Drama, Devising Drama and Texts in Practice.",0,content,22
3,Practical Assessment (60% of total marks),16,logistics,9
3,The practical assessment is broken up into two components - Devising Drama and Texts in Practice.,34,content,17
3,In the Devising Drama unit you are exploring the process of creating and performing devised drama as well as analysing and evaluating your own work.,47,content,26
3,It is assessed through a devising log (60 marks) and a devised performance (20 marks) and makes up 40% of the GCSE.,11,logistics,28
3,The Text in Practice unit requires a performance of two extracts from one play.,14,logistics,15
3,It is worth 20% of the GCSE The Terminal Exam 40% The final exam in Drama consists of a written paper lasting 1 hour and 45 minutes.,16,logistics,30
3,It is an open book exam worth 80 marks.,16,logistics,10
3,The exam assesses students’ knowledge and understanding of drama and theatre including a study of one set play from a choice of six and an analysis and evaluation of the work of live theatre makers.,33,content,37
3,Section A: multiple choice (4 marks) •,18,logistics,10
3,Section B: four questions on a given extract from the set play chosen (44 marks) •,32,content,19
3,"Section C: one two part question (from a choice) on the work of theatre makers in a single live theatre production (32 marks) Students are prepared for this through homework, class activities, theatre visits and mock exams during the course.",33,content,48
3,Failure to participate in theatre visits would place a student on this course at a severe disadvantage in the final exam,40,content,21
4,A BTEC in Performing Arts can help you take your first steps towards a career onstage or behind the scenes.,10,logistics,21
4,"You’ll learn essential skills such as acting, dance and musical performance, stage management, production and set design.",37,motivation,22
4,What skills will I develop and what will I study?,30,motivation,11
