description_id,sentence,cluster,cluster_type,n_tokens
0,1 - Human Geography - ‘Changing Places - Changing Economies’ Students will study the features and structure of cities and rural areas.,7,motivation,25
0,"Students will discover why more people live in cities, the pressures on cities, ways in which they can be improved and why some cities are ‘Global Cities’.",10,content,32
0,Students will study the development of countries including trade and aid.,10,content,12
0,Changes in retail and leisure will also be studied in both urban and rural areas.,7,motivation,16
0,Theme 2 - Physical Geography - ‘Changing Environments’ Students will explore how the landscape is shaped and changed by processes at the coast and by a river.,7,motivation,30
0,They will also study the management of these environments.,14,content,10
0,Other topics include weather and climate including a detailed examination of the UK climate and a detailed investigation of climate change and global warming and their impacts in the short term and long term.,1,content,35
0,Theme 3 - ‘Environmental Challenges’ Students will study ecosystems at different scales both local and global.,14,content,19
0,A detailed study of two ecosystems including the damage caused by humans and the management of these ecosystems.,13,content,19
0,Students will also study water supply and demand and desertification.,10,content,11
0,Fieldwork is a compulsory element of the GCSE.,2,logistics,9
0,Two different fieldwork investigations are undertaken during the GCSE course.,2,logistics,11
0,One will examine a physical geography setting and the other a human geography setting.,7,motivation,15
1,"Geography allows you to travel the world from your classroom, exploring case studies in the UK, other higher income countries, newly emerging economies and lower income countries.",7,motivation,31
1,"You will study a wide range of current issues facing our world including climate change, natural hazards, poverty, deprivation, shifts in economic power and the challenge of sustainability.",14,content,33
1,"You will also study topics that are closer to home, such as the UK’s landscapes, the opportunities and challenges that Bristol faces and weather hazards.",0,content,29
1,"A strong geographer is world aware, a capable writer and confident in their use of data.",7,motivation,18
1,They can recall a range of evidence learned in the course and apply it to unfamiliar contexts.,21,transferable,18
1,"They are able to consider their role within society and consider differing viewpoints, values and attitudes when reaching a decision.",11,transferable,22
1,"Exam 1 – Living with the physical environment – 35% – 90 minutes Natural hazards, the living world, physical landscapes in the UK, geographical skills Exam 2 – Challenges in the human environment – 35% – 90 minutes Urban issues, the changing economic world, resource management, geographical skills",15,logistics,56
1,"Exam 3 – Geographical applications – 30% – 75 minutes Issue evaluation, fieldwork, geographical skills",15,logistics,18
2,"Geography enables students to develop their geographical skills alongside investigative, mathematic and statistic skills.",7,motivation,16
